2021-04-26 13:30:17,778 | INFO | runner.run:33 | Starting game number 1.
2021-04-26 13:30:17,778 | DEBUG | runner.run_game:39 | Randomly picked arena: island.
2021-04-26 13:30:17,822 | DEBUG | arenas.spawn_menhir:119 | Menhir spawned at Coords(x=41, y=42).
2021-04-26 13:30:17,874 | DEBUG | games._spawn_champions:67 | Champion for Krowa1233ControllerKrowka spawned at Coords(x=51, y=8) -> Facing.DOWN.
2021-04-26 13:30:17,875 | DEBUG | games._spawn_champions:67 | Champion for ClaretWolfController spawned at Coords(x=50, y=48) -> Facing.DOWN.
2021-04-26 13:30:17,875 | DEBUG | games._spawn_champions:67 | Champion for IHaveNoIdeaWhatImDoingController spawned at Coords(x=10, y=41) -> Facing.DOWN.
2021-04-26 13:30:17,875 | DEBUG | games._spawn_champions:67 | Champion for BotElkaZ nami na pewno zdasz spawned at Coords(x=38, y=64) -> Facing.UP.
2021-04-26 13:30:17,876 | DEBUG | games._spawn_champions:67 | Champion for TupTupBot spawned at Coords(x=52, y=7) -> Facing.RIGHT.
2021-04-26 13:30:17,876 | DEBUG | games._spawn_champions:67 | Champion for BBBotControllerBartek spawned at Coords(x=31, y=77) -> Facing.UP.
2021-04-26 13:30:17,876 | DEBUG | games._environment_action:75 | Starting episode 1.
2021-04-26 13:30:17,889 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:30:17,889 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.RIGHT.
2021-04-26 13:30:17,895 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.TURN_RIGHT.
2021-04-26 13:30:17,895 | DEBUG | characters.turn_right:73 | Champion TupTupBot is now facing Facing.DOWN.
2021-04-26 13:30:17,906 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:30:17,907 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.RIGHT.
2021-04-26 13:30:18,031 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.TURN_LEFT.
2021-04-26 13:30:18,032 | DEBUG | characters.turn_left:68 | Champion IHaveNoIdeaWhatImDoingController is now facing Facing.RIGHT.
2021-04-26 13:30:18,032 | DEBUG | characters.act:47 | Champion ClaretWolfController picked action Action.TURN_RIGHT.
2021-04-26 13:30:18,033 | DEBUG | characters.turn_right:73 | Champion ClaretWolfController is now facing Facing.LEFT.
2021-04-26 13:30:18,046 | DEBUG | characters.act:47 | Champion Krowa1233ControllerKrowka picked action Action.TURN_LEFT.
2021-04-26 13:30:18,047 | DEBUG | characters.turn_left:68 | Champion Krowa1233ControllerKrowka is now facing Facing.RIGHT.
2021-04-26 13:30:18,047 | DEBUG | games._environment_action:75 | Starting episode 2.
2021-04-26 13:30:18,060 | DEBUG | characters.act:47 | Champion BBBotControllerBartek picked action Action.TURN_RIGHT.
2021-04-26 13:30:18,061 | DEBUG | characters.turn_right:73 | Champion BBBotControllerBartek is now facing Facing.DOWN.
2021-04-26 13:30:18,122 | DEBUG | characters.act:47 | Champion TupTupBot picked action Action.TURN_RIGHT.
2021-04-26 13:30:18,122 | DEBUG | characters.turn_right:73 | Champion TupTupBot is now facing Facing.LEFT.
2021-04-26 13:30:18,138 | DEBUG | characters.act:47 | Champion BotElkaZ nami na pewno zdasz picked action Action.TURN_RIGHT.
2021-04-26 13:30:18,138 | DEBUG | characters.turn_right:73 | Champion BotElkaZ nami na pewno zdasz is now facing Facing.DOWN.
2021-04-26 13:30:18,283 | DEBUG | characters.act:47 | Champion IHaveNoIdeaWhatImDoingController picked action Action.STEP_FORWARD.
